# 2015 年後期2年生試驗時間割
# year,month,day,frame,subject,th,calendar_name
2015,10,29,4,res,1,532_code
2015,11,11,4,dgs,1,532_code
2015,11,17,4,hmt,1,532_code
2015,11,25,4,ren,1,532_code
2015,12,1,4,ifct,1,532_code
2015,12,7,4,res,11,532_code
2015,12,9,4,mn,1,532_code
2015,12,10,5,ren,11,532_code
2015,12,16,4,edc,1,532_code
2015,12,22,4,con,1,532_code
2016,1,12,4,conc,1,532_code
2016,1,13,2,dgs,11,532_code
2016,1,13,4,hmt,11,532_code
2016,1,13,5,ifct,11,532_code
2016,1,15,5,edc,11,532_code
2016,1,22,4,ast,1,532_code
2016,1,29,1,mtl,1,532_code
2016,2,9,4,dgs,12,532_code
2016,2,9,5,mn,11,532_code
2016,2,22,5,ast,11,532_code
